ID,Gene,,,,,
UniProtKB:Q96F46,IL17RA,,,,,
UniProtKB:Q8IWP9,CCDC28A,,,,,
UniProtKB:O60603,TLR2,,,,,
UniProtKB:Q9Y258,CCL26,,,,,
UniProtKB:Q9H257,CARD9,,,,,
UniProtKB:Q16570,ACKR1,,,,,
UniProtKB:Q16552,IL17A,,,,,
UniProtKB:P07333,CSF1R,,,,,
UniProtKB:Q6IA17,SIGIRR,,,,,
UniProtKB:Q9NRJ3,CCL28,,,,,
UniProtKB:Q96LR4,TAFA4,,,,,
UniProtKB:P54577,YARS1,,,,,
UniProtKB:O15296,ALOX15B,,,,,
UniProtKB:O15263,DEFB4A,,,,,
UniProtKB:Q96RI1,NR1H4,,,,,
UniProtKB:Q13163,MAP2K5,,,,,
UniProtKB:P46094,XCR1,,,,,
UniProtKB:P46092,CCR10,,,,,
UniProtKB:P14174,MIF,,,,,
UniProtKB:Q04941,PLP2,,,,,
UniProtKB:Q8NES8,DEFB124,,,,,
UniProtKB:P49238,CX3CR1,,,,,
UniProtKB:Q8NHW4,CCL4L1,,,,,
UniProtKB:P09211,GSTP1,,,,,
UniProtKB:Q9UQQ2,SH2B3,,,,,
UniProtKB:Q969V5,MUL1,,,,,
UniProtKB:Q9NPB9,ACKR4,,,,,
UniProtKB:O43353,RIPK2,,,,,
UniProtKB:P49682,CXCR3,,,,,
UniProtKB:O95715,CXCL14,,,,,
UniProtKB:O43927,CXCL13,,,,,
UniProtKB:O43918,AIRE,,,,,
UniProtKB:O95747,OXSR1,,,,,
UniProtKB:Q16665,HIF1A,,,,,
UniProtKB:Q16627,CCL14,,,,,
UniProtKB:P32248,CCR7,,,,,
UniProtKB:P32246,CCR1,,,,,
UniProtKB:Q8NHJ6,LILRB4,,,,,
UniProtKB:Q9UEW8,STK39,,,,,
UniProtKB:Q9Y6N7,ROBO1,,,,,
UniProtKB:O43776,NARS1,,,,,
UniProtKB:P10720,PF4V1,,,,,
UniProtKB:Q9UIB8,CD84,,,,,
UniProtKB:O43623,SNAI2,,,,,
UniProtKB:Q9UBD3,XCL2,,,,,
UniProtKB:P05305,EDN1,,,,,
UniProtKB:Q9H334,FOXP1,,,,,
UniProtKB:Q96J02,ITCH,,,,,
UniProtKB:Q9Y6D0,SELENOK,,,,,
UniProtKB:O95760,IL33,,,,,
UniProtKB:O75094,SLIT3,,,,,
UniProtKB:P05556,ITGB1,,,,,
UniProtKB:P05231,IL6,,,,,
UniProtKB:P20160,AZU1,,,,,
UniProtKB:Q9ULZ3,PYCARD,,,,,
UniProtKB:Q9Y4X3,CCL27,,,,,
UniProtKB:P42224,STAT1,,,,,
UniProtKB:Q9Y2L9,LRCH1,,,,,
UniProtKB:P10147,CCL3,,,,,
UniProtKB:P10145,CXCL8,,,,,
UniProtKB:Q30KR1,DEFB109B,,,,,
UniProtKB:Q30KQ9,DEFB110,,,,,
UniProtKB:Q30KQ6,DEFB114,,,,,
UniProtKB:Q30KQ1,DEFB133,,,,,
UniProtKB:Q5D1E8,ZC3H12A,,,,,
UniProtKB:Q16663,CCL15,,,,,
UniProtKB:O75159,SOCS5,,,,,
UniProtKB:Q8NF50,DOCK8,,,,,
UniProtKB:P29275,ADORA2B,,,,,
UniProtKB:Q9H4A3,WNK1,,,,,
UniProtKB:Q9Y4F9,RIPOR2,,,,,
UniProtKB:P42830,CXCL5,,,,,
UniProtKB:P22362,CCL1,,,,,
UniProtKB:Q9H2A7,CXCL16,,,,,
UniProtKB:P22301,IL10,,,,,
UniProtKB:Q9NR96,TLR9,,,,,
UniProtKB:Q9Y2J8,PADI2,,,,,
UniProtKB:P07948,LYN,,,,,
UniProtKB:Q9NYK1,TLR7,,,,,
UniProtKB:P09601,HMOX1,,,,,
UniProtKB:P19876,CXCL3,,,,,
UniProtKB:P19875,CXCL2,,,,,
